Polling Booth Number,Polling Booth Name,Winner- 2019,Margin %,Margin,Total Voters,BJP- Votes,BJP- % votes,INC- Votes,INC- % Votes,Adv. Chandrashekar Dongre,Topale Rupachand,Rahul Parasanji Tayde,Sanjay Ambadas Wankhede,Avinash Suresh Badhiye,Deepak M. Madavi,Dilip Shamraoji Potfode,Vilas Vinayakrao Kailuke,NOTA,No of Votes got by 3rd parties,BJP booth strength,INC booth strength
1,Wadala,INC,4.819277108,24,498,225,45.18072289,249,50,6,4,0,2,0,5,1,0,6,18,WEAK,MODERATE
2,Vardhapur,BJP,7.294117647,31,425,221,52,190,44.70588235,4,4,0,0,0,4,0,0,2,12,MODERATE,WEAK
3,Sattarapur,INC,9.219858156,26,282,122,43.26241135,148,52.4822695,2,4,0,0,1,3,1,0,1,11,WEAK,MODERATE
4,Pilapur,BJP,7.333333333,33,450,236,52.44444444,203,45.11111111,1,4,1,1,0,2,1,0,1,10,MODERATE,WEAK
5,Belora (bu ),BJP,5.779569892,43,744,357,47.98387097,314,42.20430108,6,58,0,0,1,2,0,1,5,68,WEAK,WEAK
6,Khambit,BJP,12.30031949,77,626,334,53.35463259,257,41.0543131,5,16,0,0,1,5,1,0,7,28,MODERATE,WEAK
7,"zilha parishad primary school, Borgaon (Tu)",INC,15.02782931,81,539,212,39.33209647,293,54.35992579,6,1,1,0,1,11,7,0,7,27,WEAK,MODERATE
8,Borgaon (tu.),INC,8.864696734,57,643,287,44.63452566,344,53.4992224,4,6,0,0,0,0,0,1,1,11,WEAK,MODERATE
9,Drugavada,BJP,13.98514851,113,808,435,53.83663366,322,39.85148515,25,17,1,0,0,3,0,0,5,46,MODERATE,WEAK
10,Tarasanvaga Booth J. P. Uchch Prathamik Shala,BJP,11.4,57,500,271,54.2,214,42.8,6,0,1,0,0,2,3,0,3,12,MODERATE,WEAK
11,Tarasanvaga Booth J. P. Uchch Prathamik Shala old Building,BJP,16.55629139,75,453,239,52.7593819,164,36.20309051,28,5,0,0,0,2,14,0,1,49,MODERATE,WEAK
12,Sahur Booth J P Prathamik Shala Sahur Uttarekadil Bhag,BJP,14.41677588,110,763,396,51.90039318,286,37.4836173,19,11,0,0,0,43,2,0,6,75,MODERATE,WEAK
13,Sahur Booth J P Prathamik Shala Sahur Kha Kr. 2 Dakshinekadil,BJP,42.49084249,116,273,189,69.23076923,73,26.73992674,5,1,0,0,0,3,0,0,2,9,MODERATE,WEAK
14,Sahur Booth Z.P. Pri. School,BJP,16.24548736,90,554,317,57.22021661,227,40.97472924,2,3,0,0,0,2,0,0,3,7,MODERATE,WEAK
15,Sahur Booth Dnyaneshwari Junior Highschool,BJP,3.024911032,17,562,283,50.35587189,266,47.33096085,5,0,0,0,0,4,0,0,4,9,MODERATE,WEAK
16,Sanvanga (purn ),BJP,4.109589041,18,438,205,46.80365297,187,42.69406393,5,5,1,3,0,28,1,1,2,44,WEAK,WEAK
17,Poragavhan,BJP,3.442028986,19,552,247,44.74637681,228,41.30434783,13,23,2,0,0,35,2,0,2,75,WEAK,WEAK
18,Panchala,BJP,23.65591398,66,279,166,59.49820789,100,35.84229391,1,4,0,1,2,3,0,0,2,11,MODERATE,WEAK
19,Delvadi Booth J P Uchch Prath Shala,INC,2.093397746,13,621,290,46.69887279,303,48.79227053,6,5,1,2,0,0,13,0,1,27,WEAK,WEAK
20,Delvadi Booth Gram panchayat Karyalay,BJP,61.79775281,220,356,286,80.33707865,66,18.53932584,1,1,0,0,0,0,1,1,0,4,STRONG,WEAK
21,Jaulavadi,BJP,23.5443038,93,395,235,59.49367089,142,35.94936709,5,5,0,1,0,6,0,0,1,17,MODERATE,WEAK
22,Antora (juna ),BJP,1.109350238,7,631,308,48.81141046,301,47.70206022,0,20,0,0,0,0,0,0,2,20,WEAK,WEAK
23,Antora (navin ),BJP,4.187817259,33,788,394,50,361,45.81218274,6,17,0,0,1,3,2,1,3,30,MODERATE,WEAK
24,Lahan Arvi Booth J. P. Prath Shala,BJP,3.479576399,23,661,335,50.68078669,312,47.20121029,1,8,1,0,0,0,1,0,3,11,MODERATE,WEAK
25,Lahan Arvi Booth Grampanchayat Karyalay,BJP,17.79141104,116,652,375,57.51533742,259,39.72392638,1,6,0,0,0,1,3,1,6,12,MODERATE,WEAK
26,Jaitapur,BJP,11.08033241,40,361,194,53.73961219,154,42.65927978,2,1,0,0,0,4,4,0,2,11,MODERATE,WEAK
27,Dhadi Booth J . P. Prath Shala,BJP,6.359649123,29,456,225,49.34210526,196,42.98245614,3,17,2,2,0,11,0,0,0,35,WEAK,WEAK
28,Dhadi Booth J . P. Uchch Prath Shala,BJP,2.06185567,12,582,281,48.28178694,269,46.21993127,4,5,0,0,1,12,5,1,4,28,WEAK,WEAK
29,Manikavada J P Uchch Prath Shala Pashchimekadil Bhag ,BJP,3.973509934,30,755,377,49.93377483,347,45.9602649,14,2,1,0,0,12,1,0,1,30,WEAK,WEAK
30,Manikavada J P Uchch Prath Shala Navin Imarat,BJP,29.45301543,210,713,411,57.64375877,201,28.19074334,12,8,2,0,3,62,9,0,5,96,MODERATE,WEAK
31,Susundra,BJP,1.909307876,16,838,401,47.85202864,385,45.94272076,15,9,4,0,0,20,1,2,1,51,WEAK,WEAK
32,Moi,BJP,5.984042553,45,752,389,51.7287234,344,45.74468085,5,4,0,1,1,3,1,1,3,16,MODERATE,WEAK
33,Kinhi Abad,INC,3.084415584,19,616,240,38.96103896,259,42.04545455,10,7,1,0,1,94,1,2,1,116,WEAK,WEAK
34,Peth Ahamadapur Gram panchayat Karyalaya,BJP,2.635431918,18,683,325,47.58418741,307,44.94875549,10,20,1,1,1,2,1,1,14,37,WEAK,WEAK
35,Peth Ahamadapur K. Mallikarjun G. P. Prath. Shala,INC,11.92307692,93,780,331,42.43589744,424,54.35897436,1,6,0,0,0,9,1,0,8,17,WEAK,MODERATE
36,Kinnhala,BJP,3.327787022,20,601,290,48.25291181,270,44.92512479,12,8,0,12,1,5,0,0,3,38,WEAK,WEAK
37,Dalpatpur ,INC,4.01891253,17,423,166,39.24349882,183,43.26241135,11,25,1,27,1,2,0,6,1,73,WEAK,WEAK
38,Sirasoli,INC,6.650544135,55,827,379,45.82829504,434,52.47883918,5,2,0,2,0,0,0,1,4,10,WEAK,MODERATE
39,Khadaki Booth No1,BJP,16.66666667,77,462,259,56.06060606,182,39.39393939,7,11,0,0,1,0,0,0,2,19,MODERATE,WEAK
40,Khadaki Booth No2,BJP,15.85365854,65,410,223,54.3902439,158,38.53658537,10,13,1,1,0,0,0,0,4,25,MODERATE,WEAK
41,Parasoda,BJP,9.75975976,65,666,347,52.1021021,282,42.34234234,18,12,1,1,2,0,0,2,1,36,MODERATE,WEAK
42,Ashti Booth K. Gopalrao Vagh J. P. Prath. Shalabhag Imarat Kr,INC,7.022106632,54,769,338,43.95318596,392,50.97529259,2,4,1,2,4,5,10,1,10,29,WEAK,MODERATE
43,Ashti Booth K. Gopalrao Vagh J. P. Prath. Shalauttarekadil Bha,BJP,29.88235294,254,850,539,63.41176471,285,33.52941176,7,6,1,1,1,2,4,3,1,25,MODERATE,WEAK
44,Ashti Booth K. Gopalrao Vagh J. P. Prath. Shala dakshine Kadil,BJP,7.391304348,51,690,333,48.26086957,282,40.86956522,28,28,1,3,3,2,5,1,4,71,WEAK,WEAK
45,Ashti K. Indira Gandhi J. P. Prath. Shala (muli ),BJP,22.90076336,120,524,312,59.54198473,192,36.64122137,4,7,1,2,0,2,0,1,3,17,MODERATE,WEAK
46,Ashti K. Indira Gandhi J. P. Prath. Shala (muli ),BJP,15.03448276,109,725,396,54.62068966,287,39.5862069,9,3,0,1,0,11,13,0,5,37,MODERATE,WEAK
47,Ashti Shahid Rashid Khan J . P. Prath.,BJP,21.47335423,137,638,376,58.93416928,239,37.46081505,3,3,1,0,0,4,7,1,4,19,MODERATE,WEAK
48,Ashti Shahid Rashid Khan J . P. Prath.,BJP,14.2599278,79,554,307,55.41516245,228,41.15523466,2,2,0,0,0,10,0,0,5,14,MODERATE,WEAK
49,Narsingpur,BJP,33.2278481,105,316,205,64.87341772,100,31.64556962,2,5,0,2,0,1,1,0,0,11,MODERATE,WEAK
50,Ashti Mahatma Gandhi J. P. Prath. Juni Prath Shala Kr. 2,BJP,8.035714286,54,672,338,50.29761905,284,42.26190476,4,19,1,1,0,10,3,2,10,40,MODERATE,WEAK
51,Ashti Mahatma Gandhi J. P. Prath. Juni Prath Shala Kr. 2,BJP,2.541106129,17,669,331,49.47683109,314,46.93572496,3,6,0,0,0,6,5,0,4,20,WEAK,WEAK
52,Thar J. P. Uchch Prath. Shala Navin Imarat Dakshine,BJP,7.832898172,60,766,386,50.39164491,326,42.55874674,11,13,2,0,1,15,2,3,7,47,MODERATE,WEAK
53,Thar J. P. Prath. Shala,BJP,21.25813449,98,461,244,52.92841649,146,31.670282,2,1,0,3,0,61,0,0,4,67,MODERATE,WEAK
54,Belgaon,INC,0.718132855,4,557,263,47.21723519,267,47.93536804,8,4,1,0,0,8,3,0,3,24,WEAK,WEAK
55,Sawardoh,INC,12.57668712,82,652,233,35.73619632,315,48.31288344,14,2,1,0,0,77,1,1,8,96,WEAK,WEAK
56,Taroda J. P. Uchch Prath. Shala,INC,22.15288612,142,641,213,33.22932917,355,55.38221529,6,0,0,4,0,60,2,0,1,72,WEAK,MODERATE
57,Kakda,BJP,26.68500688,194,727,435,59.8349381,241,33.14993122,32,9,1,1,1,1,4,1,1,50,MODERATE,WEAK
58,Parasodi J. P. Uchch Prath. Shala,BJP,18.56,116,625,356,56.96,240,38.4,10,1,0,0,0,12,0,2,4,25,MODERATE,WEAK
59,Bihadi,BJP,36.95324284,245,663,437,65.91251885,192,28.95927602,4,0,0,0,0,19,7,0,4,30,MODERATE,WEAK
60,Vaghada,INC,5.324459235,32,601,278,46.2562396,310,51.58069884,5,2,0,0,0,0,1,1,4,9,WEAK,MODERATE
61,Nara J. P. Uchch Prath. Shala,INC,11.13956466,87,781,306,39.18053777,393,50.32010243,36,6,0,2,0,27,1,2,8,74,WEAK,MODERATE
62,Nara Grapanchayat Karyalay,BJP,10.22222222,69,675,331,49.03703704,262,38.81481481,38,24,1,0,0,6,1,2,10,72,WEAK,WEAK
63,Ajanadevi,INC,10.1635514,87,856,370,43.22429907,457,53.38785047,5,8,0,0,0,7,0,2,7,22,WEAK,MODERATE
64,Paradi J. P. Prath. Shala Paradi (heti ) Kho. Kr. 1,INC,7.954545455,42,528,226,42.8030303,268,50.75757576,2,5,1,1,0,17,1,1,6,28,WEAK,MODERATE
65,Paradi J. P. Prath. Shala Paradi (heti ) Kho. Kr. 4,BJP,5.305466238,33,622,296,47.58842444,263,42.2829582,11,7,0,0,3,33,0,3,6,57,WEAK,WEAK
66,Paradi J. P. Prath. Shala Paradi (heti ) Kho. Kr. 2,BJP,10.10273973,59,584,307,52.56849315,248,42.46575342,11,8,1,1,0,0,3,1,4,25,MODERATE,WEAK
67,Botona,BJP,1.822916667,14,768,377,49.08854167,363,47.265625,2,17,1,6,0,1,0,0,1,27,WEAK,WEAK
68,Babanrda,BJP,4.487179487,14,312,154,49.35897436,140,44.87179487,2,1,0,1,0,8,3,1,2,16,WEAK,WEAK
69,Sirakutani,INC,0.667779633,4,599,256,42.73789649,260,43.40567613,13,4,0,1,0,59,3,1,2,81,WEAK,WEAK
70,Sujatapur,BJP,28.82562278,81,281,156,55.51601423,75,26.69039146,4,6,0,1,1,34,2,1,1,49,MODERATE,WEAK
71,Tekoda,BJP,16.89189189,125,740,400,54.05405405,275,37.16216216,2,57,1,0,0,3,0,0,2,63,MODERATE,WEAK
72,Bharasvada Z.P.High Primary School (Boys),BJP,9.400544959,69,734,385,52.45231608,316,43.05177112,1,4,0,0,0,23,1,1,3,30,MODERATE,WEAK
73,Bharasvada J. P. Uchch Prath. Shala,BJP,8.136094675,55,676,349,51.62721893,294,43.49112426,4,12,0,1,0,12,2,0,2,31,MODERATE,WEAK
74,Bhishnur,INC,7.852760736,64,815,359,44.04907975,423,51.90184049,17,13,0,0,0,0,0,1,2,31,WEAK,MODERATE
75,Ramdara Grapanchayat Karyalay Taleganv,BJP,15.32258065,76,496,269,54.23387097,193,38.91129032,5,4,2,0,1,13,4,1,4,30,MODERATE,WEAK
76,Ramdara Gra. Pan. Karyalay Vachanalay,BJP,0.299401198,1,334,154,46.10778443,153,45.80838323,7,5,1,4,0,2,2,1,5,22,WEAK,WEAK
77,Ramdara J. P. Prath. Shalataleganv,INC,2.070393375,10,483,206,42.65010352,216,44.72049689,3,0,2,2,1,43,0,1,4,52,WEAK,WEAK
78,Ramdara J. P. Prath. Urdu Shala,INC,13.68078176,42,307,125,40.71661238,167,54.39739414,0,1,1,7,0,8,0,0,3,17,WEAK,MODERATE
79,Ramdara J. P. Prath. Shalaramadara (purnavasan ),BJP,16.12903226,105,651,357,54.83870968,252,38.70967742,8,10,0,2,1,12,0,0,4,33,MODERATE,WEAK
80,Talegaon Booth No1,INC,0.139470014,1,717,332,46.30404463,333,46.44351464,13,12,0,7,1,9,5,2,8,49,WEAK,WEAK
81,Ramdara J. P. Prath. Shala Navin Ramadara Purnavasan,INC,5.364806867,25,466,174,37.33905579,199,42.70386266,40,13,0,3,1,25,4,2,5,88,WEAK,WEAK
82,Ramdara J. P. Prath. Shala Shiri Ramadara Pashchimekadil,INC,3.416149068,11,322,139,43.16770186,150,46.58385093,5,4,2,1,0,15,3,1,2,31,WEAK,WEAK
83,Talegaon Booth No2,BJP,20.15267176,132,655,377,57.55725191,245,37.40458015,5,6,0,13,1,0,0,0,8,25,MODERATE,WEAK
84,Ramdara K. Pandurangji Ingle J. P. Prath. Shala . Talegav,BJP,3.344481605,20,598,268,44.81605351,248,41.47157191,29,31,1,11,2,2,1,2,3,79,WEAK,WEAK
85,Ramdara J. P. Prath. Kendr. Shala . Talegav,INC,7.079646018,24,339,142,41.8879056,166,48.96755162,6,7,1,2,0,10,4,1,0,31,WEAK,WEAK
86,SARWADI,BJP,5.436573311,33,607,297,48.9291598,264,43.49258649,4,6,0,0,2,17,6,1,10,36,WEAK,WEAK
87,Sarvadi,BJP,11.08108108,41,370,199,53.78378378,158,42.7027027,2,1,0,0,0,6,2,0,2,11,MODERATE,WEAK
88,Devavadi,INC,9.336609337,38,407,173,42.50614251,211,51.84275184,1,6,1,2,0,11,1,0,1,22,WEAK,MODERATE
89,Ekamba,BJP,5.479452055,40,730,362,49.5890411,322,44.10958904,7,19,0,1,1,2,0,2,14,32,WEAK,WEAK
90,Savali (bu ),BJP,12.6566416,101,798,429,53.7593985,328,41.10275689,14,4,2,5,0,5,2,0,9,32,MODERATE,WEAK
91,"Karanja J. P. Pra. Shala ,khardipura ,kanraja ,kholi Kr. 2",BJP,45.87053571,411,896,617,68.86160714,206,22.99107143,4,7,4,0,3,5,40,4,6,67,MODERATE,WEAK
92,Karanja Z.P. PRIMARY SCHOOL,BJP,35.05674653,278,793,515,64.94325347,237,29.88650694,12,7,0,0,0,3,5,3,11,30,MODERATE,WEAK
93,Karanja Z.P. PRIMARY CENTRAL SCHOOL (BOYS),BJP,32.57142857,228,700,459,65.57142857,231,33,0,1,0,1,1,5,0,0,2,8,MODERATE,WEAK
94,Karanja J. P. Prath. Shala (mulichi )karanja Kholi Kran. 1,BJP,1.579586877,13,823,410,49.81773998,397,48.2381531,3,1,0,1,1,3,2,2,3,13,WEAK,WEAK
95,Karanja Kasturaba Vidyalay Karanja Khon. Kr. 2 Purv Kadil,BJP,21.42857143,81,378,227,60.05291005,146,38.62433862,0,0,0,1,0,2,0,1,1,4,MODERATE,WEAK
96,Karanja Kasturaba Vidyalay Karanja Khon. Kr. 3 Purv Kadil,BJP,8.73015873,33,378,196,51.85185185,163,43.12169312,3,5,0,0,0,5,3,0,3,16,MODERATE,WEAK
97,Karanja Kasturaba Vidyalay Karanja Khon. Kr. 4pashchime Ka,BJP,3.262411348,23,705,347,49.21985816,324,45.95744681,8,11,0,0,0,8,4,0,3,31,WEAK,WEAK
98,Karanja Panchayat Samitiche Sabhagruh,BJP,14.10891089,57,404,221,54.7029703,164,40.59405941,3,6,0,3,0,2,0,0,5,14,MODERATE,WEAK
99,Karanja Panchayat Samitiche Sabhagruh,BJP,16.82539683,53,315,179,56.82539683,126,40,2,4,1,1,0,2,0,0,0,10,MODERATE,WEAK
100,Karanja J. P. Prath. Shala Karanja Khairi (pu ),BJP,3.907380608,27,691,343,49.6382055,316,45.73082489,6,8,0,0,0,11,2,0,5,27,WEAK,WEAK
101,Karanja J. P. Prath. Shala Indira Nagar,INC,6.23885918,35,561,238,42.42424242,273,48.6631016,0,0,0,0,0,0,0,0,0,0,WEAK,WEAK
102,Karanja J. P. Prath. Shala Indira Nagar Karanja Kholi Kr.,BJP,5.219206681,25,479,244,50.9394572,219,45.72025052,4,6,0,0,1,5,0,0,0,16,MODERATE,WEAK
103,Chandevani,INC,4.06360424,23,566,250,44.16961131,273,48.23321555,8,6,0,8,1,10,4,1,5,38,WEAK,WEAK
104,Madni,BJP,5.029585799,17,338,169,50,152,44.9704142,4,7,0,1,1,2,1,0,1,16,MODERATE,WEAK
105,Selagaon (lavane),BJP,0.41322314,2,484,238,49.17355372,236,48.76033058,5,2,0,1,0,0,0,0,2,8,WEAK,WEAK
106,SELGAON (LAWANE),BJP,4.619565217,17,368,183,49.72826087,166,45.10869565,5,11,1,0,0,1,0,1,0,19,WEAK,WEAK
107,Jauravada (khu ),BJP,17.94871795,84,468,236,50.42735043,152,32.47863248,6,8,0,0,3,57,1,3,2,78,MODERATE,WEAK
108,Dharti,BJP,46.7094703,291,623,442,70.9470305,151,24.23756019,9,9,2,0,1,1,4,2,2,28,STRONG,WEAK
109,Bori,BJP,25.53846154,166,650,390,60,224,34.46153846,6,10,2,0,2,1,5,3,7,29,MODERATE,WEAK
110,Thanegaon J. P. Prath. Shala,INC,0.878293601,7,797,343,43.03638645,350,43.91468005,30,28,1,1,0,33,2,1,8,96,WEAK,WEAK
111,Thanegaon Grapanchayat Karyalay,BJP,23.05825243,95,412,238,57.76699029,143,34.70873786,6,8,0,0,0,13,2,1,1,30,MODERATE,WEAK
112,Thanegaon ANGANWADI CENTER,BJP,25.11210762,112,446,267,59.86547085,155,34.75336323,5,7,1,0,2,4,3,0,2,22,MODERATE,WEAK
113,Borgaon (dhole ),BJP,24.13273002,160,663,396,59.72850679,236,35.59577677,7,6,2,1,0,2,4,2,7,24,MODERATE,WEAK
114,Dhavadi (bu ),BJP,10.51051051,35,333,181,54.35435435,146,43.84384384,3,0,0,1,0,1,0,0,1,5,MODERATE,WEAK
115,Rajani,INC,5.056179775,27,534,237,44.38202247,264,49.43820225,4,9,0,0,0,15,0,1,4,29,WEAK,WEAK
116,Bodarathana,BJP,28.02469136,227,810,469,57.90123457,242,29.87654321,6,11,5,0,2,52,16,0,7,92,MODERATE,WEAK
117,Akarjun,BJP,0.371057514,2,539,269,49.90723562,267,49.53617811,0,1,0,0,0,1,0,0,1,2,WEAK,WEAK
118,SONEGAON (MUSTAFA),0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,WEAK,WEAK
119,KINHALA,INC,14.61538462,76,520,205,39.42307692,281,54.03846154,11,3,0,1,0,11,2,0,6,28,WEAK,MODERATE
120,Jasapur (ki ),BJP,8.600337268,51,593,308,51.93929174,257,43.33895447,6,8,0,0,1,8,1,3,1,27,MODERATE,WEAK
121,Chistur,BJP,23.42342342,182,777,455,58.55855856,273,35.13513514,12,19,0,0,0,4,2,1,11,38,MODERATE,WEAK
122,Anadavadi,BJP,12.13333333,91,750,388,51.73333333,297,39.6,6,5,1,0,0,43,2,0,8,57,MODERATE,WEAK
123,Belora (khu ),BJP,0.468933177,4,853,411,48.18288394,407,47.71395076,13,13,1,2,1,1,3,0,1,34,WEAK,WEAK
124,Khadka,INC,6.100795756,23,377,154,40.84880637,177,46.94960212,15,10,0,0,0,0,15,1,5,41,WEAK,WEAK
125,Jalgaon J. P. Prath. Shala Jalaganv Kho. Kr. 1,BJP,18.20615797,136,747,436,58.36680054,300,40.16064257,6,1,0,0,1,1,0,2,0,11,MODERATE,WEAK
126,Jalgaon J. P. Prath. Shala Jalaganv Kho. Kr. 1 Navin Imara,INC,5.061349693,33,652,288,44.17177914,321,49.23312883,9,15,1,1,0,9,1,1,6,37,WEAK,WEAK
127,Jalgaon J. P. Prath. Shala Jalaganv (karyalay ),BJP,23.20954907,175,754,450,59.68169761,275,36.47214854,2,4,1,0,0,13,3,1,5,24,MODERATE,WEAK
128,Paratoda,INC,30.47619048,96,315,83,26.34920635,179,56.82539683,6,19,0,0,1,25,1,0,1,52,WEAK,MODERATE
129,Vardh J. P. Uchch Prath. Shala Vardh Kho. Kr. 1,INC,4.481132075,38,848,338,39.85849057,376,44.33962264,31,6,0,2,4,74,3,1,13,121,WEAK,WEAK
130,Maneri,INC,4.173106646,27,647,293,45.28593509,320,49.45904173,6,5,0,0,0,11,4,1,7,27,WEAK,WEAK
131,Vardh J. P. Uchch Prath. Shala Vardh Shale Magachi Kho.,BJP,9.815242494,85,866,441,50.92378753,356,41.10854503,14,7,3,3,3,30,2,1,6,63,MODERATE,WEAK
132,Mandala,INC,18.75,69,368,113,30.70652174,182,49.45652174,3,2,1,0,0,64,2,0,1,72,WEAK,WEAK
133,Malegaon (kali ),BJP,9.506398537,52,547,289,52.83363803,237,43.32723949,2,10,1,0,0,8,0,0,0,21,MODERATE,WEAK
134,Narasingapur,INC,2.352941176,10,425,189,44.47058824,199,46.82352941,1,1,0,0,0,22,4,0,9,28,WEAK,WEAK
135,Chichonli (pa),INC,14.84814398,132,889,349,39.2575928,481,54.10573678,7,35,1,1,0,12,0,1,2,57,WEAK,MODERATE
136,Selagaon (umate ),BJP,8.647450111,39,451,228,50.55432373,189,41.90687361,3,5,0,0,1,20,0,1,4,30,MODERATE,WEAK
137,Junapani,BJP,29.42386831,143,486,309,63.58024691,166,34.1563786,1,4,0,0,2,1,3,0,0,11,MODERATE,WEAK
138,BHALEWADI,BJP,5.23255814,18,344,176,51.1627907,158,45.93023256,1,5,1,1,0,0,1,1,0,10,MODERATE,WEAK
139,Gavandi Booth No1,BJP,0.761904762,4,525,267,50.85714286,263,50.0952381,2,8,0,0,2,6,2,1,1,21,MODERATE,MODERATE
140,Gavandi Booth No2,BJP,19.12878788,101,528,302,57.1969697,201,38.06818182,2,4,1,0,9,6,1,0,2,23,MODERATE,WEAK
141,"MORSHI , SARSI (UNHABITATED)",BJP,4.506437768,21,466,238,51.07296137,217,46.56652361,1,2,0,0,0,4,0,0,4,7,MODERATE,WEAK
142,KHARASKHANDA,BJP,35.59782609,131,368,235,63.85869565,104,28.26086957,7,11,3,0,1,1,2,1,3,26,MODERATE,WEAK
143,Savali (khu. ) Booth No1,INC,6.306306306,21,333,130,39.03903904,151,45.34534535,4,1,0,0,0,43,1,0,3,49,WEAK,WEAK
144,Savali (khu. ) Booth No2,BJP,1.63599182,8,489,230,47.03476483,222,45.39877301,3,7,1,0,0,13,4,2,7,30,WEAK,WEAK
145,Agargaon ,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,WEAK,WEAK
146,Kundi Booth No1,BJP,13.02681992,68,522,279,53.44827586,211,40.42145594,8,7,1,0,1,13,0,0,2,30,MODERATE,WEAK
147,Kundi Booth No2,INC,19.79591837,97,490,150,30.6122449,247,50.40816327,17,11,1,0,0,61,0,2,1,92,WEAK,MODERATE
148,Dhavasa (bu ),BJP,11.62162162,86,740,394,53.24324324,308,41.62162162,8,2,2,1,1,4,9,4,7,31,MODERATE,WEAK
149,Saval,BJP,20.82616179,121,581,283,48.7091222,162,27.88296041,1,5,51,3,0,62,3,4,7,129,WEAK,WEAK
150,Umari Booth No1,INC,10.84337349,45,415,178,42.89156627,223,53.73493976,2,2,0,0,0,1,4,0,5,9,WEAK,MODERATE
151,Umari Booth No2,INC,10.77981651,47,436,186,42.66055046,233,53.44036697,2,5,0,0,4,3,1,1,1,16,WEAK,MODERATE
